Year,1,2,3,4,5,6,7,8,9,10,11,12,Average
1997,64.3,65,65.7,66.2,66.5,67.2,67.9,68.1,68.1,68.9,68.7,68.5,67.09166667
1998,68.7,68.7,68.5,69.5,69.7,70,69.9,70.3,71.3,73.4,74.3,74.4,70.725
1999,74,73.5,73.3,73.5,73.9,74.1,74.3,74.7,75,75.5,75.4,75.4,74.38333333
2000,75,74.7,74.5,74.8,75.5,75.7,75.9,75.5,75,75.5,75.5,75.4,75.25
2001,74.9,74.9,75,75.7,76,76.2,76.5,76.8,76.9,77,76.5,76.4,76.06666667
2002,77.3,77.9,78.3,79.5,80.2,81.3,81.8,81.5,81.8,82.3,81.6,81.4,80.40833333
2003,81.6,81.9,82,81.9,81.5,81,80.4,80.6,80.2,80.2,80,79.9,80.93333333
2004,79.7,79.9,79.8,80.7,81,81,80.8,81,80.8,80.8,80.8,80.8,80.59166667
2005,80.4,80.5,80.4,80.9,81.2,81.2,82.1,82.3,82.4,83,82.9,82.8,81.675
2006,82.5,83,83.3,84,84,84.1,84.1,84.1,83.4,82.9,82.7,82.7,83.4
2007,82.6,82.3,82.5,82.9,82.9,83.5,84.4,85,84.6,84.7,85,85.5,83.825
2008,85.5,85.3,85.6,86.8,87.4,87.5,88.5,89.3,89.3,89.3,88.8,88.8,87.675
2009,88.3,88.2,88.6,89.5,89.9,90.7,91.6,92.1,91.8,92,92.2,92.2,90.59166667
2010,91.6,91.4,91.4,92.2,92.6,92.8,93.3,93.7,94,94.2,94.3,94.7,93.01666667
2011,94.9,95.2,95.3,95.9,96.4,96.7,96.5,96.9,96.7,96.8,96.7,96.7,96.225
2012,96.7,96.7,97.1,97.9,97.9,97.7,97.8,98.8,98.8,98.6,98.1,98.3,97.86666667
2013,98.1,98.1,98.3,98.7,98.8,99.6,99.9,100.1,100.1,100.4,100,100.1,99.35
2014,99.5,99.3,99.6,99.7,99.8,100.1,100.2,100.1,99.8,100.1,99.9,99.9,99.83333333
2015,99,98.3,98.6,99.2,99.4,99.7,99.9,99.7,99.3,99.4,99,98.9,99.2
2016,98.4,98.1,97.9,98.3,98.6,98.9,99.3,99,98.9,99.1,98.7,98.7,98.65833333
2017,98.5,98.5,98.8,99,99.4,98.7,98.6,98.9,99,99.3,99,99.1,98.9
2018,98.6,98.7,99,99.4,99.9,100,100,100.1,100.2,100.5,100.2,99.9,99.70833333
2019,99.8,99.9,100.4,100.7,101.4,100.8,100.5,100.7,100.5,100.9,100.5,100.5,100.55
2020,100.1,100,100.4,100.1,99.8,99.7,99.9,99.9,99.8,100.1,99.9,99.8,99.95833333
